,Engine Cylinders
0,6.0
1,6.0
2,6.0
3,6.0
4,6.0
5,6.0
6,6.0
7,6.0
8,6.0
9,6.0
10,6.0
11,6.0
12,6.0
13,6.0
14,6.0
15,6.0
16,6.0
17,6.0
18,6.0
19,6.0
20,6.0
21,6.0
22,6.0
23,6.0
24,6.0
25,6.0
26,6.0
27,6.0
28,6.0
29,6.0
30,6.0
31,6.0
32,4.0
33,4.0
34,4.0
35,4.0
36,6.0
37,6.0
38,4.0
39,4.0
40,6.0
41,4.0
42,4.0
43,6.0
44,4.0
45,4.0
46,6.0
47,4.0
48,6.0
49,6.0
50,6.0
51,6.0
52,6.0
53,6.0
54,4.0
55,4.0
56,4.0
57,4.0
58,5.0
59,5.0
60,5.0
61,5.0
62,5.0
63,5.0
64,4.0
65,4.0
66,6.0
67,4.0
68,4.0
69,6.0
70,4.0
71,4.0
72,6.0
73,6.0
74,4.0
75,4.0
76,4.0
77,4.0
78,6.0
79,6.0
80,4.0
81,4.0
82,4.0
83,6.0
84,4.0
85,4.0
86,4.0
87,4.0
88,4.0
89,4.0
90,4.0
91,4.0
92,4.0
93,4.0
94,4.0
95,4.0
96,4.0
97,4.0
98,4.0
99,4.0
100,4.0
101,4.0
102,4.0
103,4.0
104,4.0
105,4.0
106,4.0
107,4.0
108,4.0
109,4.0
110,4.0
111,4.0
112,4.0
113,4.0
114,4.0
115,4.0
116,4.0
117,4.0
118,4.0
119,4.0
120,4.0
121,4.0
122,4.0
123,4.0
124,6.0
125,4.0
126,4.0
127,4.0
128,6.0
129,6.0
130,4.0
131,4.0
132,6.0
133,4.0
134,6.0
135,4.0
136,4.0
137,4.0
138,4.0
139,6.0
140,4.0
141,4.0
142,4.0
143,4.0
144,4.0
145,6.0
146,4.0
147,4.0
148,4.0
149,4.0
150,4.0
151,4.0
152,4.0
153,4.0
154,6.0
155,4.0
156,4.0
157,4.0
158,4.0
159,4.0
160,4.0
161,4.0
162,6.0
163,6.0
164,4.0
165,6.0
166,6.0
167,6.0
168,6.0
169,6.0
170,6.0
171,6.0
172,6.0
173,6.0
174,5.0
175,5.0
176,6.0
177,6.0
178,6.0
179,6.0
180,6.0
181,6.0
182,6.0
183,6.0
184,6.0
185,6.0
186,6.0
187,5.0
188,6.0
189,6.0
190,6.0
191,6.0
192,6.0
193,6.0
194,6.0
195,6.0
196,6.0
197,6.0
198,6.0
199,6.0
200,6.0
201,6.0
202,6.0
203,6.0
204,6.0
205,6.0
206,6.0
207,6.0
208,6.0
209,6.0
210,6.0
211,6.0
212,6.0
213,6.0
214,6.0
215,6.0
216,6.0
217,6.0
218,6.0
219,6.0
220,6.0
221,6.0
222,6.0
223,6.0
224,6.0
225,6.0
226,6.0
227,6.0
228,6.0
229,6.0
230,6.0
231,6.0
232,6.0
233,6.0
234,6.0
235,6.0
236,6.0
237,6.0
238,6.0
239,6.0
240,6.0
241,6.0
242,6.0
243,6.0
244,6.0
245,6.0
246,6.0
247,6.0
248,6.0
249,6.0
250,6.0
251,4.0
252,4.0
253,4.0
254,4.0
255,4.0
256,6.0
257,6.0
258,6.0
259,6.0
260,6.0
261,6.0
262,6.0
263,6.0
264,6.0
265,6.0
266,6.0
267,6.0
268,6.0
269,6.0
270,6.0
271,6.0
272,6.0
273,6.0
274,6.0
275,6.0
276,6.0
277,6.0
278,6.0
279,6.0
280,6.0
281,6.0
282,6.0
283,6.0
284,6.0
285,6.0
286,6.0
287,6.0
288,6.0
289,6.0
290,6.0
291,6.0
292,6.0
293,6.0
294,8.0
295,8.0
296,8.0
297,8.0
298,8.0
299,8.0
300,8.0
301,8.0
302,8.0
303,8.0
304,8.0
305,8.0
306,8.0
307,6.0
308,6.0
309,6.0
310,6.0
311,6.0
312,6.0
313,6.0
314,6.0
315,6.0
316,6.0
317,6.0
318,6.0
319,6.0
320,6.0
321,6.0
322,6.0
323,6.0
324,6.0
325,6.0
326,6.0
327,6.0
328,6.0
329,6.0
330,6.0
331,6.0
332,6.0
333,6.0
334,6.0
335,6.0
336,6.0
337,6.0
338,6.0
339,6.0
340,6.0
341,6.0
342,6.0
343,6.0
344,6.0
345,6.0
346,6.0
347,6.0
348,6.0
349,6.0
350,6.0
351,6.0
352,6.0
353,6.0
354,6.0
355,6.0
356,6.0
357,6.0
358,4.0
359,4.0
360,4.0
361,4.0
362,4.0
363,4.0
364,4.0
365,4.0
366,4.0
367,4.0
368,4.0
369,4.0
370,4.0
371,4.0
372,4.0
373,4.0
374,4.0
375,4.0
376,4.0
377,4.0
378,4.0
379,4.0
380,4.0
381,4.0
382,4.0
383,4.0
384,4.0
385,4.0
386,4.0
387,4.0
388,4.0
389,4.0
390,4.0
391,4.0
392,4.0
393,4.0
394,4.0
395,4.0
396,4.0
397,4.0
398,4.0
399,4.0
400,4.0
401,4.0
402,4.0
403,4.0
404,4.0
405,4.0
406,4.0
407,4.0
408,4.0
409,4.0
410,4.0
411,4.0
412,4.0
413,4.0
414,4.0
415,6.0
416,6.0
417,4.0
418,6.0
419,6.0
420,4.0
421,6.0
422,6.0
423,4.0
424,4.0
425,6.0
426,6.0
427,4.0
428,4.0
429,4.0
430,6.0
431,4.0
432,4.0
433,4.0
434,6.0
435,4.0
436,4.0
437,4.0
438,4.0
439,4.0
440,6.0
441,4.0
442,6.0
443,4.0
444,6.0
445,6.0
446,4.0
447,4.0
448,6.0
449,4.0
450,4.0
451,6.0
452,6.0
453,6.0
454,8.0
455,8.0
456,8.0
457,8.0
458,8.0
459,8.0
460,12.0
461,12.0
462,12.0
463,12.0
464,12.0
465,12.0
466,8.0
467,8.0
468,8.0
469,8.0
470,8.0
471,8.0
472,8.0
473,8.0
474,4.0
475,4.0
476,4.0
477,4.0
478,4.0
479,6.0
480,6.0
481,6.0
482,6.0
483,6.0
484,6.0
485,6.0
486,6.0
487,6.0
488,6.0
489,6.0
490,6.0
491,6.0
492,6.0
493,6.0
494,6.0
495,6.0
496,6.0
497,6.0
498,6.0
499,6.0
500,6.0
501,6.0
502,6.0
503,6.0
504,6.0
505,6.0
506,8.0
507,6.0
508,8.0
509,6.0
510,8.0
511,6.0
512,6.0
513,6.0
514,8.0
515,8.0
516,6.0
517,6.0
518,4.0
519,6.0
520,8.0
521,4.0
522,6.0
523,6.0
524,6.0
525,6.0
526,4.0
527,4.0
528,8.0
529,8.0
530,6.0
531,8.0
532,8.0
533,8.0
534,8.0
